,id_hdv,posi_rec,prev_pos_pres,prev_pos_vice1,prev_pos_vice2,prev_pos_co,prev_pos_par_an,prev_pos_gob,prev_pos_gob_vice,prev_pos_alc_prov,prev_pos_reg_prov,prev_pos_alc_dist,prev_pos_reg_dist,prev_pos_con_reg,prev_pos_acc,prev_pos_reg_cp,prev_pos_dip,prev_pos_sen,prev_pos_alc_cp,prev_org_pol,prev_start,prev_end
298,0-75-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
299,0-75-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
300,0-75-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
301,0-75-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
302,0-75-6,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,ALIANZA ELECTORAL ALIANZA POR AREQUIPA ,2010 ,2014 
303,0-76-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
304,0-76-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
305,0-76-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
306,0-77-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
307,0-77-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
308,0-77-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
309,0-78-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
310,0-78-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
311,0-78-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
312,0-79-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
313,0-79-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
314,0-80-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
315,0-80-3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,MOVIMIENTO REGIONAL INDEPENDENCIA TRABAJO E INTEGRACION (INTI) ,2003 ,2005 
316,0-81-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
317,0-81-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
318,0-81-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
319,0-81-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
320,0-82-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
321,0-83-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
322,0-83-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
323,0-83-5,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,SIEMPRE UNIDOS ,2015 ,2018 
324,0-84-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
325,0-84-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
326,0-84-3,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO FUERZA POPULAR ,2011 ,2014 
327,0-84-4,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL PATRIA JOVEN ,2010 ,2014 
328,0-85-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
329,0-85-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
330,0-85-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
331,0-85-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
332,0-85-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
333,0-85-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
334,0-86-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
335,0-86-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
336,0-87-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
337,0-87-2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO ,2010 ,2013 
338,0-87-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
